Country,Year,Count,,
TUR,2005,25,,
KAZ,1985,825,,
RUS,2004,1068,,
MKD,2000,389,,
UKR,2015,247,,
HUN,2001,581,,
MLT,2007,0,,
MDA,2008,408,,
MDA,1987,1225,,
FIN,1998,188,,
LTU,2013,179,,
SWE,1971,168,,
SVN,2001,446,,
MKD,2008,257,,
PRT,2012,213,,
ROU,1989,522,,
EST,1990,1319,,
HUN,1977,502,,
ROU,1997,1465,,
ROU,1987,476,,
FIN,1988,201,,
RUS,1995,1888,,
HRV,1992,558,,
MNE,2013,117,,
KAZ,2008,365,,
SWE,2010,326,,
GRC,1974,42,,
ROU,1982,1359,,
ITA,1993,262,,
TUR,2009,48,,
ISR,2008,125,,
TKM,2001,203,,
HUN,1990,719,,
SVK,2003,274,,
POL,2012,2,,
ISL,2010,199,,
UKR,2008,281,,
GRC,1978,40,,
MLT,1993,0,,
NLD,2004,150,,
MLT,1989,0,,
ISL,1989,151,,
UZB,1996,121,,
NOR,1988,276,,
UKR,1988,1452,,
SVK,2000,301,,
HUN,1976,511,,
SVN,1988,656,,
MLT,1997,0,,
ROU,2013,416,,
ITA,1988,309,,
GEO,1996,546,,
LVA,1996,1225,,
RUS,2010,599,,
GBR,2006,276,,
ISL,2009,195,,
MKD,2001,316,,
SWE,2009,336,,
UKR,2001,765,,
SVN,1989,677,,
SVK,1993,615,,
LTU,2012,198,,
MDA,1988,1073,,
EST,2010,448,,
NLD,2001,140,,
FRA,2003,268,,
ROU,1980,1036,,
SWE,1980,359,,
GEO,1985,668,,
LVA,2005,584,,
NLD,1996,118,,
FIN,1976,296,,
NOR,2006,241,,
UZB,2000,104,,
SWE,1984,328,,
ISR,1993,145,,
ITA,2006,225,,
UKR,2004,482,,
KGZ,2015,138,,
UZB,2009,68,,
HRV,2003,149,,
MLT,2013,0,,
UZB,2014,58,,
GBR,2014,253,,
TKM,2008,110,,
SRB,2000,574,,
SVK,2002,301,,
GRC,1989,110,,
MNE,2001,266,,
KGZ,1987,542,,
MKD,1986,797,,
ISL,1997,226,,
HRV,2001,160,,
GRC,1988,96,,
TJK,2013,37,,
LTU,1997,600,,
EST,1984,1393,,
ITA,2005,233,,
HUN,1981,549,,
TJK,1997,97,,
GRC,1985,62,,
ISR,1999,142,,
NOR,1992,252,,
GRC,1994,122,,
UKR,1996,1257,,
GRC,1976,51,,
EST,2012,433,,
